Name1	Name	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added
A049	A04.9	Bacterial intestinal infection, unspecified	Root	A00-B99	A00-A09	A04	A04.9				A049    Bacterial intestinal infection, unspecified	0
A05	A05	Other bacterial foodborne intoxications, not elsewhere classified	Root	A00-B99	A00-A09	A05					NA	0
A050	A05.0	Foodborne staphylococcal intoxication	Root	A00-B99	A00-A09	A05	A05.0				A050    Foodborne staphylococcal intoxication	0
A051	A05.1	Botulism food poisoning	Root	A00-B99	A00-A09	A05	A05.1				A051    Botulism food poisoning	0
A052	A05.2	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	Root	A00-B99	A00-A09	A05	A05.2				A052    Foodborne Clostridium perfringens [Clostridium welchii] intoxication	0
A053	A05.3	Foodborne Vibrio parahaemolyticus intoxication	Root	A00-B99	A00-A09	A05	A05.3				A053    Foodborne Vibrio parahaemolyticus intoxication	0
A054	A05.4	Foodborne Bacillus cereus intoxication	Root	A00-B99	A00-A09	A05	A05.4				A054    Foodborne Bacillus cereus intoxication	0
A055	A05.5	Foodborne Vibrio vulnificus intoxication	Root	A00-B99	A00-A09	A05	A05.5				A055    Foodborne Vibrio vulnificus intoxication	0
A058	A05.8	Other specified bacterial foodborne intoxications	Root	A00-B99	A00-A09	A05	A05.8				A058    Other specified bacterial foodborne intoxications	0
A059	A05.9	Bacterial foodborne intoxication, unspecified	Root	A00-B99	A00-A09	A05	A05.9				A059    Bacterial foodborne intoxication, unspecified	0
A06	A06	Amebiasis	Root	A00-B99	A00-A09	A06					NA	0
A060	A06.0	Acute amebic dysentery	Root	A00-B99	A00-A09	A06	A06.0				A060    Acute amebic dysentery	0
A061	A06.1	Chronic intestinal amebiasis	Root	A00-B99	A00-A09	A06	A06.1				A061    Chronic intestinal amebiasis	0
A062	A06.2	Amebic nondysenteric colitis	Root	A00-B99	A00-A09	A06	A06.2				A062    Amebic nondysenteric colitis	0
A063	A06.3	Ameboma of intestine	Root	A00-B99	A00-A09	A06	A06.3				A063    Ameboma of intestine	0
A064	A06.4	Amebic liver abscess	Root	A00-B99	A00-A09	A06	A06.4				A064    Amebic liver abscess	0
A065	A06.5	Amebic lung abscess	Root	A00-B99	A00-A09	A06	A06.5				A065    Amebic lung abscess	0
A066	A06.6	Amebic brain abscess	Root	A00-B99	A00-A09	A06	A06.6				A066    Amebic brain abscess	0
A067	A06.7	Cutaneous amebiasis	Root	A00-B99	A00-A09	A06	A06.7				A067    Cutaneous amebiasis	0
A068	A06.8	Amebic infection of other sites	Root	A00-B99	A00-A09	A06	A06.8				NA	0
A0681	A06.81	Amebic cystitis	Root	A00-B99	A00-A09	A06	A06.8	A06.81			A0681   Amebic cystitis	0
A0682	A06.82	Other amebic genitourinary infections	Root	A00-B99	A00-A09	A06	A06.8	A06.82			A0682   Other amebic genitourinary infections	0
A0689	A06.89	Other amebic infections	Root	A00-B99	A00-A09	A06	A06.8	A06.89			A0689   Other amebic infections	0
A069	A06.9	Amebiasis, unspecified	Root	A00-B99	A00-A09	A06	A06.9				A069    Amebiasis, unspecified	0
A07	A07	Other protozoal intestinal diseases	Root	A00-B99	A00-A09	A07					NA	0
A070	A07.0	Balantidiasis	Root	A00-B99	A00-A09	A07	A07.0				A070    Balantidiasis	0
A071	A07.1	Giardiasis [lambliasis]	Root	A00-B99	A00-A09	A07	A07.1				A071    Giardiasis [lambliasis]	0
A072	A07.2	Cryptosporidiosis	Root	A00-B99	A00-A09	A07	A07.2				A072    Cryptosporidiosis	0
A073	A07.3	Isosporiasis	Root	A00-B99	A00-A09	A07	A07.3				A073    Isosporiasis	0
A074	A07.4	Cyclosporiasis	Root	A00-B99	A00-A09	A07	A07.4				A074    Cyclosporiasis	0
A078	A07.8	Other specified protozoal intestinal diseases	Root	A00-B99	A00-A09	A07	A07.8				A078    Other specified protozoal intestinal diseases	0
A079	A07.9	Protozoal intestinal disease, unspecified	Root	A00-B99	A00-A09	A07	A07.9				A079    Protozoal intestinal disease, unspecified	0
A08	A08	Viral and other specified intestinal infections	Root	A00-B99	A00-A09	A08					NA	0
A080	A08.0	Rotaviral enteritis	Root	A00-B99	A00-A09	A08	A08.0				A080    Rotaviral enteritis	0
A081	A08.1	Acute gastroenteropathy due to Norwalk agent and other small round viruses	Root	A00-B99	A00-A09	A08	A08.1				NA	0
A0811	A08.11	Acute gastroenteropathy due to Norwalk agent	Root	A00-B99	A00-A09	A08	A08.1	A08.11			A0811   Acute gastroenteropathy due to Norwalk agent	0
A0819	A08.19	Acute gastroenteropathy due to other small round viruses	Root	A00-B99	A00-A09	A08	A08.1	A08.19			A0819   Acute gastroenteropathy due to other small round viruses	0
A082	A08.2	Adenoviral enteritis	Root	A00-B99	A00-A09	A08	A08.2				A082    Adenoviral enteritis	0
A083	A08.3	Other viral enteritis	Root	A00-B99	A00-A09	A08	A08.3				NA	0
A0831	A08.31	Calicivirus enteritis	Root	A00-B99	A00-A09	A08	A08.3	A08.31			A0831   Calicivirus enteritis	0
A0832	A08.32	Astrovirus enteritis	Root	A00-B99	A00-A09	A08	A08.3	A08.32			A0832   Astrovirus enteritis	0
A0839	A08.39	Other viral enteritis	Root	A00-B99	A00-A09	A08	A08.3	A08.39			A0839   Other viral enteritis	0
A084	A08.4	Viral intestinal infection, unspecified	Root	A00-B99	A00-A09	A08	A08.4				A084    Viral intestinal infection, unspecified	0
A088	A08.8	Other specified intestinal infections	Root	A00-B99	A00-A09	A08	A08.8				A088    Other specified intestinal infections	0
A09	A09	Infectious gastroenteritis and colitis, unspecified	Root	A00-B99	A00-A09	A09					A09     Infectious gastroenteritis and colitis, unspecified	0
A15	A15	Respiratory tuberculosis	Root	A00-B99	A15-A19	A15					NA	0
A150	A15.0	Tuberculosis of lung	Root	A00-B99	A15-A19	A15	A15.0				A150    Tuberculosis of lung	0
A154	A15.4	Tuberculosis of intrathoracic lymph nodes	Root	A00-B99	A15-A19	A15	A15.4				A154    Tuberculosis of intrathoracic lymph nodes	0
A155	A15.5	Tuberculosis of larynx, trachea and bronchus	Root	A00-B99	A15-A19	A15	A15.5				A155    Tuberculosis of larynx, trachea and bronchus	0
A156	A15.6	Tuberculous pleurisy	Root	A00-B99	A15-A19	A15	A15.6				A156    Tuberculous pleurisy	0
A157	A15.7	Primary respiratory tuberculosis	Root	A00-B99	A15-A19	A15	A15.7				A157    Primary respiratory tuberculosis	0
A158	A15.8	Other respiratory tuberculosis	Root	A00-B99	A15-A19	A15	A15.8				A158    Other respiratory tuberculosis	0
A159	A15.9	Respiratory tuberculosis unspecified	Root	A00-B99	A15-A19	A15	A15.9				A159    Respiratory tuberculosis unspecified	0
A17	A17	Tuberculosis of nervous system	Root	A00-B99	A15-A19	A17					NA	0
A170	A17.0	Tuberculous meningitis	Root	A00-B99	A15-A19	A17	A17.0				A170    Tuberculous meningitis	0
A171	A17.1	Meningeal tuberculoma	Root	A00-B99	A15-A19	A17	A17.1				A171    Meningeal tuberculoma	0
A178	A17.8	Other tuberculosis of nervous system	Root	A00-B99	A15-A19	A17	A17.8				NA	0
A1781	A17.81	Tuberculoma of brain and spinal cord	Root	A00-B99	A15-A19	A17	A17.8	A17.81			A1781   Tuberculoma of brain and spinal cord	0
A1782	A17.82	Tuberculous meningoencephalitis	Root	A00-B99	A15-A19	A17	A17.8	A17.82			A1782   Tuberculous meningoencephalitis	0
A1783	A17.83	Tuberculous neuritis	Root	A00-B99	A15-A19	A17	A17.8	A17.83			A1783   Tuberculous neuritis	0
A1789	A17.89	Other tuberculosis of nervous system	Root	A00-B99	A15-A19	A17	A17.8	A17.89			A1789   Other tuberculosis of nervous system	0
