Name1	Name	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added 
C44529	C44.529	Squamous cell carcinoma of skin of other part of trunk	Root	C00-D49	C43-C44	C44	C44.5	C44.52	C44.529		C44529  Squamous cell carcinoma of skin of other part of trunk	0
C4459	C44.59	Other specified malignant neoplasm of skin of trunk	Root	C00-D49	C43-C44	C44	C44.5	C44.59			NA	0
C44590	C44.590	Other specified malignant neoplasm of anal skin	Root	C00-D49	C43-C44	C44	C44.5	C44.59	C44.590		C44590  Other specified malignant neoplasm of anal skin	0
C44591	C44.591	Other specified malignant neoplasm of skin of breast	Root	C00-D49	C43-C44	C44	C44.5	C44.59	C44.591		C44591  Other specified malignant neoplasm of skin of breast	0
C44599	C44.599	Other specified malignant neoplasm of skin of other part of trunk	Root	C00-D49	C43-C44	C44	C44.5	C44.59	C44.599		C44599  Other specified malignant neoplasm of skin of other part of trunk	0
C446	C44.6	Other and unspecified malignant neoplasm of skin of upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6				NA	0
C4460	C44.60	Unspecified malignant neoplasm of skin of upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.60			NA	0
C44601	C44.601	Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.60	C44.601		C44601  Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder	0
C44602	C44.602	Unspecified malignant neoplasm of skin of right upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.60	C44.602		C44602  Unspecified malignant neoplasm of skin of right upper limb, including shoulder	0
C44609	C44.609	Unspecified malignant neoplasm of skin of left upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.60	C44.609		C44609  Unspecified malignant neoplasm of skin of left upper limb, including shoulder	0
C4461	C44.61	Basal cell carcinoma of skin of upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.61			NA	0
C44611	C44.611	Basal cell carcinoma of skin of unspecified upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.61	C44.611		C44611  Basal cell carcinoma of skin of unspecified upper limb, including shoulder	0
C44612	C44.612	Basal cell carcinoma of skin of right upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.61	C44.612		C44612  Basal cell carcinoma of skin of right upper limb, including shoulder	0
C44619	C44.619	Basal cell carcinoma of skin of left upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.61	C44.619		C44619  Basal cell carcinoma of skin of left upper limb, including shoulder	0
C4462	C44.62	Squamous cell carcinoma of skin of upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.62			NA	0
C44621	C44.621	Squamous cell carcinoma of skin of unspecified upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.62	C44.621		C44621  Squamous cell carcinoma of skin of unspecified upper limb, including shoulder	0
C44622	C44.622	Squamous cell carcinoma of skin of right upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.62	C44.622		C44622  Squamous cell carcinoma of skin of right upper limb, including shoulder	0
C44629	C44.629	Squamous cell carcinoma of skin of left upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.62	C44.629		C44629  Squamous cell carcinoma of skin of left upper limb, including shoulder	0
C4469	C44.69	Other specified malignant neoplasm of skin of upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.69			NA	0
C44691	C44.691	Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.69	C44.691		C44691  Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder	0
C44692	C44.692	Other specified malignant neoplasm of skin of right upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.69	C44.692		C44692  Other specified malignant neoplasm of skin of right upper limb, including shoulder	0
C44699	C44.699	Other specified malignant neoplasm of skin of left upper limb, including shoulder	Root	C00-D49	C43-C44	C44	C44.6	C44.69	C44.699		C44699  Other specified malignant neoplasm of skin of left upper limb, including shoulder	0
C447	C44.7	Other and unspecified malignant neoplasm of skin of lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7				NA	0
C4470	C44.70	Unspecified malignant neoplasm of skin of lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.70			NA	0
C44701	C44.701	Unspecified malignant neoplasm of skin of unspecified lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.70	C44.701		C44701  Unspecified malignant neoplasm of skin of unspecified lower limb, including hip	0
C44702	C44.702	Unspecified malignant neoplasm of skin of right lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.70	C44.702		C44702  Unspecified malignant neoplasm of skin of right lower limb, including hip	0
C44709	C44.709	Unspecified malignant neoplasm of skin of left lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.70	C44.709		C44709  Unspecified malignant neoplasm of skin of left lower limb, including hip	0
C4471	C44.71	Basal cell carcinoma of skin of lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.71			NA	0
C44711	C44.711	Basal cell carcinoma of skin of unspecified lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.71	C44.711		C44711  Basal cell carcinoma of skin of unspecified lower limb, including hip	0
C44712	C44.712	Basal cell carcinoma of skin of right lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.71	C44.712		C44712  Basal cell carcinoma of skin of right lower limb, including hip	0
C44719	C44.719	Basal cell carcinoma of skin of left lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.71	C44.719		C44719  Basal cell carcinoma of skin of left lower limb, including hip	0
C4472	C44.72	Squamous cell carcinoma of skin of lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.72			NA	0
C44721	C44.721	Squamous cell carcinoma of skin of unspecified lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.72	C44.721		C44721  Squamous cell carcinoma of skin of unspecified lower limb, including hip	0
C44722	C44.722	Squamous cell carcinoma of skin of right lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.72	C44.722		C44722  Squamous cell carcinoma of skin of right lower limb, including hip	0
C44729	C44.729	Squamous cell carcinoma of skin of left lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.72	C44.729		C44729  Squamous cell carcinoma of skin of left lower limb, including hip	0
C4479	C44.79	Other specified malignant neoplasm of skin of lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.79			NA	0
C44791	C44.791	Other specified malignant neoplasm of skin of unspecified lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.79	C44.791		C44791  Other specified malignant neoplasm of skin of unspecified lower limb, including hip	0
C44792	C44.792	Other specified malignant neoplasm of skin of right lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.79	C44.792		C44792  Other specified malignant neoplasm of skin of right lower limb, including hip	0
C44799	C44.799	Other specified malignant neoplasm of skin of left lower limb, including hip	Root	C00-D49	C43-C44	C44	C44.7	C44.79	C44.799		C44799  Other specified malignant neoplasm of skin of left lower limb, including hip	0
C448	C44.8	Other and unspecified malignant neoplasm of overlapping sites of skin	Root	C00-D49	C43-C44	C44	C44.8				NA	0
C4480	C44.80	Unspecified malignant neoplasm of overlapping sites of skin	Root	C00-D49	C43-C44	C44	C44.8	C44.80			C4480   Unspecified malignant neoplasm of overlapping sites of skin	0
C4481	C44.81	Basal cell carcinoma of overlapping sites of skin	Root	C00-D49	C43-C44	C44	C44.8	C44.81			C4481   Basal cell carcinoma of overlapping sites of skin	0
C4482	C44.82	Squamous cell carcinoma of overlapping sites of skin	Root	C00-D49	C43-C44	C44	C44.8	C44.82			C4482   Squamous cell carcinoma of overlapping sites of skin	0
C4489	C44.89	Other specified malignant neoplasm of overlapping sites of skin	Root	C00-D49	C43-C44	C44	C44.8	C44.89			C4489   Other specified malignant neoplasm of overlapping sites of skin	0
C449	C44.9	Other and unspecified malignant neoplasm of skin, unspecified	Root	C00-D49	C43-C44	C44	C44.9				NA	0
C4490	C44.90	Unspecified malignant neoplasm of skin, unspecified	Root	C00-D49	C43-C44	C44	C44.9	C44.90			C4490   Unspecified malignant neoplasm of skin, unspecified	0
C4491	C44.91	Basal cell carcinoma of skin, unspecified	Root	C00-D49	C43-C44	C44	C44.9	C44.91			C4491   Basal cell carcinoma of skin, unspecified	0
C4492	C44.92	Squamous cell carcinoma of skin, unspecified	Root	C00-D49	C43-C44	C44	C44.9	C44.92			C4492   Squamous cell carcinoma of skin, unspecified	0
C4499	C44.99	Other specified malignant neoplasm of skin, unspecified	Root	C00-D49	C43-C44	C44	C44.9	C44.99			C4499   Other specified malignant neoplasm of skin, unspecified	0
C45	C45	Mesothelioma	Root	C00-D49	C45-C49	C45					NA	0
C450	C45.0	Mesothelioma of pleura	Root	C00-D49	C45-C49	C45	C45.0				C450    Mesothelioma of pleura	0
C451	C45.1	Mesothelioma of peritoneum	Root	C00-D49	C45-C49	C45	C45.1				C451    Mesothelioma of peritoneum	0
C452	C45.2	Mesothelioma of pericardium	Root	C00-D49	C45-C49	C45	C45.2				C452    Mesothelioma of pericardium	0
C457	C45.7	Mesothelioma of other sites	Root	C00-D49	C45-C49	C45	C45.7				C457    Mesothelioma of other sites	0
C459	C45.9	Mesothelioma, unspecified	Root	C00-D49	C45-C49	C45	C45.9				C459    Mesothelioma, unspecified	0
C46	C46	Kaposi's sarcoma	Root	C00-D49	C45-C49	C46					NA	0
C460	C46.0	Kaposi's sarcoma of skin	Root	C00-D49	C45-C49	C46	C46.0				C460    Kaposi's sarcoma of skin	0
C461	C46.1	Kaposi's sarcoma of soft tissue	Root	C00-D49	C45-C49	C46	C46.1				C461    Kaposi's sarcoma of soft tissue	0
C462	C46.2	Kaposi's sarcoma of palate	Root	C00-D49	C45-C49	C46	C46.2				C462    Kaposi's sarcoma of palate	0
C463	C46.3	Kaposi's sarcoma of lymph nodes	Root	C00-D49	C45-C49	C46	C46.3				C463    Kaposi's sarcoma of lymph nodes	0
C464	C46.4	Kaposi's sarcoma of gastrointestinal sites	Root	C00-D49	C45-C49	C46	C46.4				C464    Kaposi's sarcoma of gastrointestinal sites	0
C465	C46.5	Kaposi's sarcoma of lung	Root	C00-D49	C45-C49	C46	C46.5				NA	0
C4650	C46.50	Kaposi's sarcoma of unspecified lung	Root	C00-D49	C45-C49	C46	C46.5	C46.50			C4650   Kaposi's sarcoma of unspecified lung	0
C4651	C46.51	Kaposi's sarcoma of right lung	Root	C00-D49	C45-C49	C46	C46.5	C46.51			C4651   Kaposi's sarcoma of right lung	0
C4652	C46.52	Kaposi's sarcoma of left lung	Root	C00-D49	C45-C49	C46	C46.5	C46.52			C4652   Kaposi's sarcoma of left lung	0
C467	C46.7	Kaposi's sarcoma of other sites	Root	C00-D49	C45-C49	C46	C46.7				C467    Kaposi's sarcoma of other sites	0
C469	C46.9	Kaposi's sarcoma, unspecified	Root	C00-D49	C45-C49	C46	C46.9				C469    Kaposi's sarcoma, unspecified	0
C47	C47	Malignant neoplasm of peripheral nerves and autonomic nervous system	Root	C00-D49	C45-C49	C47					NA	0
C470	C47.0	Malignant neoplasm of peripheral nerves of head, face and neck	Root	C00-D49	C45-C49	C47	C47.0				C470    Malignant neoplasm of peripheral nerves of head, face and neck	0
C471	C47.1	Malignant neoplasm of peripheral nerves of upper limb, including shoulder	Root	C00-D49	C45-C49	C47	C47.1				NA	0
C4710	C47.10	Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder	Root	C00-D49	C45-C49	C47	C47.1	C47.10			C4710   Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder	0
C4711	C47.11	Malignant neoplasm of peripheral nerves of right upper limb, including shoulder	Root	C00-D49	C45-C49	C47	C47.1	C47.11			C4711   Malignant neoplasm of peripheral nerves of right upper limb, including shoulder	0
C4712	C47.12	Malignant neoplasm of peripheral nerves of left upper limb, including shoulder	Root	C00-D49	C45-C49	C47	C47.1	C47.12			C4712   Malignant neoplasm of peripheral nerves of left upper limb, including shoulder	0
C472	C47.2	Malignant neoplasm of peripheral nerves of lower limb, including hip	Root	C00-D49	C45-C49	C47	C47.2				NA	0
C4720	C47.20	Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip	Root	C00-D49	C45-C49	C47	C47.2	C47.20			C4720   Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip	0
C4721	C47.21	Malignant neoplasm of peripheral nerves of right lower limb, including hip	Root	C00-D49	C45-C49	C47	C47.2	C47.21			C4721   Malignant neoplasm of peripheral nerves of right lower limb, including hip	0
C4722	C47.22	Malignant neoplasm of peripheral nerves of left lower limb, including hip	Root	C00-D49	C45-C49	C47	C47.2	C47.22			C4722   Malignant neoplasm of peripheral nerves of left lower limb, including hip	0
C473	C47.3	Malignant neoplasm of peripheral nerves of thorax	Root	C00-D49	C45-C49	C47	C47.3				C473    Malignant neoplasm of peripheral nerves of thorax	0
C474	C47.4	Malignant neoplasm of peripheral nerves of abdomen	Root	C00-D49	C45-C49	C47	C47.4				C474    Malignant neoplasm of peripheral nerves of abdomen	0
C475	C47.5	Malignant neoplasm of peripheral nerves of pelvis	Root	C00-D49	C45-C49	C47	C47.5				C475    Malignant neoplasm of peripheral nerves of pelvis	0
C476	C47.6	Malignant neoplasm of peripheral nerves of trunk, unspecified	Root	C00-D49	C45-C49	C47	C47.6				C476    Malignant neoplasm of peripheral nerves of trunk, unspecified	0
C478	C47.8	Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system	Root	C00-D49	C45-C49	C47	C47.8				C478    Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system	0
C479	C47.9	Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified	Root	C00-D49	C45-C49	C47	C47.9				C479    Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified	0
C48	C48	Malignant neoplasm of retroperitoneum and peritoneum	Root	C00-D49	C45-C49	C48					NA	0
C480	C48.0	Malignant neoplasm of retroperitoneum	Root	C00-D49	C45-C49	C48	C48.0				C480    Malignant neoplasm of retroperitoneum	0
C481	C48.1	Malignant neoplasm of specified parts of peritoneum	Root	C00-D49	C45-C49	C48	C48.1				C481    Malignant neoplasm of specified parts of peritoneum	0
C482	C48.2	Malignant neoplasm of peritoneum, unspecified	Root	C00-D49	C45-C49	C48	C48.2				C482    Malignant neoplasm of peritoneum, unspecified	0
C488	C48.8	Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum	Root	C00-D49	C45-C49	C48	C48.8				C488    Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum	0
C49	C49	Malignant neoplasm of other connective and soft tissue	Root	C00-D49	C45-C49	C49					NA	0
C490	C49.0	Malignant neoplasm of connective and soft tissue of head, face and neck	Root	C00-D49	C45-C49	C49	C49.0				C490    Malignant neoplasm of connective and soft tissue of head, face and neck	0
C491	C49.1	Malignant neoplasm of connective and soft tissue of upper limb, including shoulder	Root	C00-D49	C45-C49	C49	C49.1				NA	0
C4910	C49.10	Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder	Root	C00-D49	C45-C49	C49	C49.1	C49.10			C4910   Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder	0
C4911	C49.11	Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder	Root	C00-D49	C45-C49	C49	C49.1	C49.11			C4911   Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder	0
C4912	C49.12	Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder	Root	C00-D49	C45-C49	C49	C49.1	C49.12			C4912   Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder	0
C492	C49.2	Malignant neoplasm of connective and soft tissue of lower limb, including hip	Root	C00-D49	C45-C49	C49	C49.2				NA	0
C4920	C49.20	Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip	Root	C00-D49	C45-C49	C49	C49.2	C49.20			C4920   Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip	0
C4921	C49.21	Malignant neoplasm of connective and soft tissue of right lower limb, including hip	Root	C00-D49	C45-C49	C49	C49.2	C49.21			C4921   Malignant neoplasm of connective and soft tissue of right lower limb, including hip	0
C4922	C49.22	Malignant neoplasm of connective and soft tissue of left lower limb, including hip	Root	C00-D49	C45-C49	C49	C49.2	C49.22			C4922   Malignant neoplasm of connective and soft tissue of left lower limb, including hip	0
C493	C49.3	Malignant neoplasm of connective and soft tissue of thorax	Root	C00-D49	C45-C49	C49	C49.3				C493    Malignant neoplasm of connective and soft tissue of thorax	0
C494	C49.4	Malignant neoplasm of connective and soft tissue of abdomen	Root	C00-D49	C45-C49	C49	C49.4				C494    Malignant neoplasm of connective and soft tissue of abdomen	0
C495	C49.5	Malignant neoplasm of connective and soft tissue of pelvis	Root	C00-D49	C45-C49	C49	C49.5				C495    Malignant neoplasm of connective and soft tissue of pelvis	0
C496	C49.6	Malignant neoplasm of connective and soft tissue of trunk, unspecified	Root	C00-D49	C45-C49	C49	C49.6				C496    Malignant neoplasm of connective and soft tissue of trunk, unspecified	0
C498	C49.8	Malignant neoplasm of overlapping sites of connective and soft tissue	Root	C00-D49	C45-C49	C49	C49.8				C498    Malignant neoplasm of overlapping sites of connective and soft tissue	0
C499	C49.9	Malignant neoplasm of connective and soft tissue, unspecified	Root	C00-D49	C45-C49	C49	C49.9				C499    Malignant neoplasm of connective and soft tissue, unspecified	0
C49A	C49.A	Gastrointestinal stromal tumor	Root	C00-D49	C45-C49	C49	C49.A				NA	0
C49A0	C49.A0	Gastrointestinal stromal tumor, unspecified site	Root	C00-D49	C45-C49	C49	C49.A	C49.A0			C49A0   Gastrointestinal stromal tumor, unspecified site	0
C49A1	C49.A1	Gastrointestinal stromal tumor of esophagus	Root	C00-D49	C45-C49	C49	C49.A	C49.A1			C49A1   Gastrointestinal stromal tumor of esophagus	0
C49A2	C49.A2	Gastrointestinal stromal tumor of stomach	Root	C00-D49	C45-C49	C49	C49.A	C49.A2			C49A2   Gastrointestinal stromal tumor of stomach	0
C49A3	C49.A3	Gastrointestinal stromal tumor of small intestine	Root	C00-D49	C45-C49	C49	C49.A	C49.A3			C49A3   Gastrointestinal stromal tumor of small intestine	0
C49A4	C49.A4	Gastrointestinal stromal tumor of large intestine	Root	C00-D49	C45-C49	C49	C49.A	C49.A4			C49A4   Gastrointestinal stromal tumor of large intestine	0
C49A5	C49.A5	Gastrointestinal stromal tumor of rectum	Root	C00-D49	C45-C49	C49	C49.A	C49.A5			C49A5   Gastrointestinal stromal tumor of rectum	0
C49A9	C49.A9	Gastrointestinal stromal tumor of other sites	Root	C00-D49	C45-C49	C49	C49.A	C49.A9			C49A9   Gastrointestinal stromal tumor of other sites	0
C4A	C4A	Merkel cell carcinoma	Root	C00-D49	C43-C44	C4A					NA	0
C4A0	C4A.0	Merkel cell carcinoma of lip	Root	C00-D49	C43-C44	C4A	C4A.0				C4A0    Merkel cell carcinoma of lip	0
C4A1	C4A.1	Merkel cell carcinoma of eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1				NA	0
C4A10	C4A.10	Merkel cell carcinoma of unspecified eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.10			C4A10   Merkel cell carcinoma of unspecified eyelid, including canthus	0
C4A11	C4A.11	Merkel cell carcinoma of right eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.11			NA	0
C4A111	C4A.111	Merkel cell carcinoma of right upper eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.11	C4A.111		C4A111  Merkel cell carcinoma of right upper eyelid, including canthus	0
C4A112	C4A.112	Merkel cell carcinoma of right lower eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.11	C4A.112		C4A112  Merkel cell carcinoma of right lower eyelid, including canthus	0
C4A12	C4A.12	Merkel cell carcinoma of left eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.12			NA	0
C4A121	C4A.121	Merkel cell carcinoma of left upper eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.12	C4A.121		C4A121  Merkel cell carcinoma of left upper eyelid, including canthus	0
C4A122	C4A.122	Merkel cell carcinoma of left lower eyelid, including canthus	Root	C00-D49	C43-C44	C4A	C4A.1	C4A.12	C4A.122		C4A122  Merkel cell carcinoma of left lower eyelid, including canthus	0
C4A2	C4A.2	Merkel cell carcinoma of ear and external auricular canal	Root	C00-D49	C43-C44	C4A	C4A.2				NA	0
C4A20	C4A.20	Merkel cell carcinoma of unspecified ear and external auricular canal	Root	C00-D49	C43-C44	C4A	C4A.2	C4A.20			C4A20   Merkel cell carcinoma of unspecified ear and external auricular canal	0
C4A21	C4A.21	Merkel cell carcinoma of right ear and external auricular canal	Root	C00-D49	C43-C44	C4A	C4A.2	C4A.21			C4A21   Merkel cell carcinoma of right ear and external auricular canal	0
C4A22	C4A.22	Merkel cell carcinoma of left ear and external auricular canal	Root	C00-D49	C43-C44	C4A	C4A.2	C4A.22			C4A22   Merkel cell carcinoma of left ear and external auricular canal	0
C4A3	C4A.3	Merkel cell carcinoma of other and unspecified parts of face	Root	C00-D49	C43-C44	C4A	C4A.3				NA	0
C4A30	C4A.30	Merkel cell carcinoma of unspecified part of face	Root	C00-D49	C43-C44	C4A	C4A.3	C4A.30			C4A30   Merkel cell carcinoma of unspecified part of face	0
C4A31	C4A.31	Merkel cell carcinoma of nose	Root	C00-D49	C43-C44	C4A	C4A.3	C4A.31			C4A31   Merkel cell carcinoma of nose	0
C4A39	C4A.39	Merkel cell carcinoma of other parts of face	Root	C00-D49	C43-C44	C4A	C4A.3	C4A.39			C4A39   Merkel cell carcinoma of other parts of face	0
C4A4	C4A.4	Merkel cell carcinoma of scalp and neck	Root	C00-D49	C43-C44	C4A	C4A.4				C4A4    Merkel cell carcinoma of scalp and neck	0
C4A5	C4A.5	Merkel cell carcinoma of trunk	Root	C00-D49	C43-C44	C4A	C4A.5				NA	0
C4A51	C4A.51	Merkel cell carcinoma of anal skin	Root	C00-D49	C43-C44	C4A	C4A.5	C4A.51			C4A51   Merkel cell carcinoma of anal skin	0
C4A52	C4A.52	Merkel cell carcinoma of skin of breast	Root	C00-D49	C43-C44	C4A	C4A.5	C4A.52			C4A52   Merkel cell carcinoma of skin of breast	0
C4A59	C4A.59	Merkel cell carcinoma of other part of trunk	Root	C00-D49	C43-C44	C4A	C4A.5	C4A.59			C4A59   Merkel cell carcinoma of other part of trunk	0
C4A6	C4A.6	Merkel cell carcinoma of upper limb, including shoulder	Root	C00-D49	C43-C44	C4A	C4A.6				NA	0
C4A60	C4A.60	Merkel cell carcinoma of unspecified upper limb, including shoulder	Root	C00-D49	C43-C44	C4A	C4A.6	C4A.60			C4A60   Merkel cell carcinoma of unspecified upper limb, including shoulder	0
C4A61	C4A.61	Merkel cell carcinoma of right upper limb, including shoulder	Root	C00-D49	C43-C44	C4A	C4A.6	C4A.61			C4A61   Merkel cell carcinoma of right upper limb, including shoulder	0
C4A62	C4A.62	Merkel cell carcinoma of left upper limb, including shoulder	Root	C00-D49	C43-C44	C4A	C4A.6	C4A.62			C4A62   Merkel cell carcinoma of left upper limb, including shoulder	0
C4A7	C4A.7	Merkel cell carcinoma of lower limb, including hip	Root	C00-D49	C43-C44	C4A	C4A.7				NA	0
C4A70	C4A.70	Merkel cell carcinoma of unspecified lower limb, including hip	Root	C00-D49	C43-C44	C4A	C4A.7	C4A.70			C4A70   Merkel cell carcinoma of unspecified lower limb, including hip	0
C4A71	C4A.71	Merkel cell carcinoma of right lower limb, including hip	Root	C00-D49	C43-C44	C4A	C4A.7	C4A.71			C4A71   Merkel cell carcinoma of right lower limb, including hip	0
C4A72	C4A.72	Merkel cell carcinoma of left lower limb, including hip	Root	C00-D49	C43-C44	C4A	C4A.7	C4A.72			C4A72   Merkel cell carcinoma of left lower limb, including hip	0
C4A8	C4A.8	Merkel cell carcinoma of overlapping sites	Root	C00-D49	C43-C44	C4A	C4A.8				C4A8    Merkel cell carcinoma of overlapping sites	0
C4A9	C4A.9	Merkel cell carcinoma, unspecified	Root	C00-D49	C43-C44	C4A	C4A.9				C4A9    Merkel cell carcinoma, unspecified	0
C50	C50	Malignant neoplasm of breast	Root	C00-D49	C50-C50	C50					NA	0
C500	C50.0	Malignant neoplasm of nipple and areola	Root	C00-D49	C50-C50	C50	C50.0				NA	0
C5001	C50.01	Malignant neoplasm of nipple and areola, female	Root	C00-D49	C50-C50	C50	C50.0	C50.01			NA	0
C50011	C50.011	Malignant neoplasm of nipple and areola, right female breast	Root	C00-D49	C50-C50	C50	C50.0	C50.01	C50.011		C50011  Malignant neoplasm of nipple and areola, right female breast	0
C50012	C50.012	Malignant neoplasm of nipple and areola, left female breast	Root	C00-D49	C50-C50	C50	C50.0	C50.01	C50.012		C50012  Malignant neoplasm of nipple and areola, left female breast	0
C50019	C50.019	Malignant neoplasm of nipple and areola, unspecified female breast	Root	C00-D49	C50-C50	C50	C50.0	C50.01	C50.019		C50019  Malignant neoplasm of nipple and areola, unspecified female breast	0
C5002	C50.02	Malignant neoplasm of nipple and areola, male	Root	C00-D49	C50-C50	C50	C50.0	C50.02			NA	0
C50021	C50.021	Malignant neoplasm of nipple and areola, right male breast	Root	C00-D49	C50-C50	C50	C50.0	C50.02	C50.021		C50021  Malignant neoplasm of nipple and areola, right male breast	0
C50022	C50.022	Malignant neoplasm of nipple and areola, left male breast	Root	C00-D49	C50-C50	C50	C50.0	C50.02	C50.022		C50022  Malignant neoplasm of nipple and areola, left male breast	0
C50029	C50.029	Malignant neoplasm of nipple and areola, unspecified male breast	Root	C00-D49	C50-C50	C50	C50.0	C50.02	C50.029		C50029  Malignant neoplasm of nipple and areola, unspecified male breast	0
C501	C50.1	Malignant neoplasm of central portion of breast	Root	C00-D49	C50-C50	C50	C50.1				NA	0
C5011	C50.11	Malignant neoplasm of central portion of breast, female	Root	C00-D49	C50-C50	C50	C50.1	C50.11			NA	0
C50111	C50.111	Malignant neoplasm of central portion of right female breast	Root	C00-D49	C50-C50	C50	C50.1	C50.11	C50.111		C50111  Malignant neoplasm of central portion of right female breast	0
C50112	C50.112	Malignant neoplasm of central portion of left female breast	Root	C00-D49	C50-C50	C50	C50.1	C50.11	C50.112		C50112  Malignant neoplasm of central portion of left female breast	0
C50119	C50.119	Malignant neoplasm of central portion of unspecified female breast	Root	C00-D49	C50-C50	C50	C50.1	C50.11	C50.119		C50119  Malignant neoplasm of central portion of unspecified female breast	0
C5012	C50.12	Malignant neoplasm of central portion of breast, male	Root	C00-D49	C50-C50	C50	C50.1	C50.12			NA	0
C50121	C50.121	Malignant neoplasm of central portion of right male breast	Root	C00-D49	C50-C50	C50	C50.1	C50.12	C50.121		C50121  Malignant neoplasm of central portion of right male breast	0
C50122	C50.122	Malignant neoplasm of central portion of left male breast	Root	C00-D49	C50-C50	C50	C50.1	C50.12	C50.122		C50122  Malignant neoplasm of central portion of left male breast	0
C50129	C50.129	Malignant neoplasm of central portion of unspecified male breast	Root	C00-D49	C50-C50	C50	C50.1	C50.12	C50.129		C50129  Malignant neoplasm of central portion of unspecified male breast	0
C502	C50.2	Malignant neoplasm of upper-inner quadrant of breast	Root	C00-D49	C50-C50	C50	C50.2				NA	0
C5021	C50.21	Malignant neoplasm of upper-inner quadrant of breast, female	Root	C00-D49	C50-C50	C50	C50.2	C50.21			NA	0
C50211	C50.211	Malignant neoplasm of upper-inner quadrant of right female breast	Root	C00-D49	C50-C50	C50	C50.2	C50.21	C50.211		C50211  Malignant neoplasm of upper-inner quadrant of right female breast	0
